Feature,Mean Difference,Paired t-test p,Wilcoxon p,Notes
mag_lemma_construction_attested,-0.1542262533320682,0.047777679980864705,0.22701992678051042,Not significant
fic_av_lemma_freq,0.11568425229575109,0.11821639935784947,0.07927763841314177,Not significant
fic_av_construction_freq,-0.08178032132969877,0.334319191403057,0.16772722034264642,Not significant
fic_av_lemma_construction_freq,0.13296941134566573,0.08876879450815058,0.0601374895883853,Not significant
fic_av_approx_collexeme,-0.017372993555552038,0.8352721546934663,0.09244124646750301,Not significant
fic_av_faith_verb_cue,-0.21336720788032756,0.006976570287922754,0.003560362174742538,Significant (higher in literal) but small effect
fic_av_faith_const_cue,0.19964384301723506,0.0189492404603213,0.20258200360100198,Not significant
fic_av_delta_p_verb_cue,-0.1875950986495344,0.017926576954230236,0.014143045040883479,Significant (higher in literal) but small effect
fic_av_delta_p_const_cue,0.14293896147827367,0.09530297830723126,0.7106664371355461,Not significant
fic_av_lemma_freq_log,0.24705557483810653,0.0010380007559618288,0.0005891984465289282,Significant (higher in metaphorical) but small effect
fic_av_construction_freq_log,-0.10918035571708623,0.18439561205494825,0.11149228320178393,Not significant
fic_av_lemma_construction_freq_log,0.13238815959693986,0.08378327067375771,0.07688224284348331,Not significant
fic_av_lemma_freq_type,0.6851653251555831,7.833327349921109e-18,9.014634967093826e-19,Significant (higher in metaphorical) but small effect
fic_av_construction_freq_type,0.5184752069173952,4.2311440638521105e-10,1.2434450009127475e-10,Significant (higher in metaphorical) but small effect
fic_av_lemma_construction_freq_type,0.6935106641074675,8.986124689609715e-17,1.1811584450150914e-19,Significant (higher in metaphorical) but small effect
fic_av_approx_collexeme_type,0.11269422709648916,0.18617538477045978,0.829755060391874,Not significant
fic_av_faith_verb_cue_type,0.3872410776901587,1.1936787259748482e-06,4.6616992160794046e-06,Significant (higher in metaphorical) but small effect
fic_av_faith_const_cue_type,0.3662035772310147,2.4969501641222587e-05,0.0006820161586112884,Significant (higher in metaphorical) but small effect
fic_av_delta_p_verb_cue_type,0.38329744277614747,1.730044726443102e-06,3.631217364368267e-06,Significant (higher in metaphorical) but small effect
fic_av_delta_p_const_cue_type,0.2860057675523696,0.0010835280343202834,0.02455180254419605,Significant (higher in metaphorical) but small effect
fic_collexeme_ratio,0.09520812089928524,0.23679765100865666,0.7646334897252042,Not significant
fic_collexeme_ratio_type,0.2950528889613722,0.00028528743743940106,0.000619256927236072,Significant (higher in metaphorical) but small effect
fic_lemma_ttr,0.8620204065629481,8.417240419156929e-26,2.8218300807389877e-21,Significant (higher in metaphorical) but small effect
fic_construction_ttr,0.8640626490816761,5.715286503799335e-26,7.4314782603186275e-22,Significant (higher in metaphorical) but small effect
fic_lemma_construction_ttr,0.8354194348724917,2.557617952345584e-24,1.3997325608329434e-20,Significant (higher in metaphorical) but small effect
fic_lemma_attested,0.012540435421083535,0.880057700021849,0.03381754426785981,Significant (higher in metaphorical) but small effect
fic_construction_attested,-0.15453396911629821,0.048303947290927886,0.0750970545984312,Not significant
fic_lemma_construction_attested,0.03949991550652164,0.6111220114315956,0.29709913698884427,Not significant
all_av_lemma_freq,0.10298371827484601,0.16593634897325257,0.11518276736928074,Not significant
all_av_construction_freq,-0.12049135050484774,0.14966153489804432,0.04514236720826672,Significant (higher in literal) but small effect
all_av_lemma_construction_freq,0.16315296893167291,0.0351841400471157,0.020234697672229997,Significant (higher in metaphorical) but small effect
all_av_approx_collexeme,-0.038940780966350896,0.6393758921728154,0.07927763841314177,Not significant
all_av_faith_verb_cue,-0.21008544568689014,0.007554396347433028,0.002353152093433682,Significant (higher in literal) but small effect
all_av_faith_const_cue,0.11533744371659894,0.17822656814398857,0.844521532306217,Not significant
all_av_delta_p_verb_cue,-0.21447246475515294,0.006813896453138641,0.005874613905790353,Significant (higher in literal) but small effect
all_av_delta_p_const_cue,0.04255973691772705,0.6184534828080479,0.34961554399521166,Not significant
all_av_lemma_freq_log,0.06850735776724982,0.3713789089072942,0.13056924149730456,Not significant
all_av_construction_freq_log,-0.15325850988656947,0.05852491513490518,0.026739255094838064,Significant (higher in literal) but small effect
all_av_lemma_construction_freq_log,0.04790677381174255,0.5336635574858137,0.42744774685992004,Not significant
all_av_lemma_freq_type,0.6775965991773909,1.8279085505090156e-17,1.7069242900387734e-18,Significant (higher in metaphorical) but small effect
all_av_construction_freq_type,0.4936542722882719,2.523603297846525e-09,1.3447418241934789e-09,Significant (higher in metaphorical) but small effect
all_av_lemma_construction_freq_type,0.6818183935706567,2.9085451252073177e-16,1.5796850676606633e-19,Significant (higher in metaphorical) but small effect
all_av_approx_collexeme_type,0.09830236545150287,0.24734248925899024,0.7167093725720248,Not significant
all_av_faith_verb_cue_type,0.4667534630449887,5.543660319044489e-09,9.35835155171758e-09,Significant (higher in metaphorical) but small effect
all_av_faith_const_cue_type,0.3335575787731676,0.00013055717351712095,0.0019241634104945867,Significant (higher in metaphorical) but small effect
all_av_delta_p_verb_cue_type,0.43908213557118364,4.2852315666964407e-08,7.169542232803159e-08,Significant (higher in metaphorical) but small effect
all_av_delta_p_const_cue_type,0.2274193293692572,0.008890423514961603,0.14693923696441422,Not significant
all_collexeme_ratio,0.06761063979230253,0.4090135901680577,0.5949807023354922,Not significant
all_collexeme_ratio_type,0.2410274779444874,0.0032243595262552095,0.004290659854262749,Significant (higher in metaphorical) but small effect
all_lemma_ttr,0.8623956310352039,8.482381273539582e-26,2.369643433898666e-21,Significant (higher in metaphorical) but small effect
all_construction_ttr,0.861289571231516,9.38234066085499e-26,1.1899514558137601e-21,Significant (higher in metaphorical) but small effect
all_lemma_construction_ttr,0.8174762662660278,1.7945193821848005e-23,9.805938334262727e-20,Significant (higher in metaphorical) but small effect
all_lemma_attested,0.04220151731055934,0.6064124054283297,0.017319268401845923,Significant (higher in metaphorical) but small effect
all_construction_attested,-0.22904084138109848,0.004553593099051184,0.01831595749029512,Significant (higher in literal) but small effect
